|                            Method | MapSize | MapGenAlgo | DistanceCalc | Heuristic |          Mean |         Error |        StdDev |
|                   'GoRogue AStar' |     100 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |   1,467.44 us |     2.9041 us |     2.7165 us |
|           'GoRogue AStar - H,W,T' |     100 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     394.50 us |     1.8179 us |     1.7005 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     308.70 us |     0.5534 us |     0.4621 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     221.60 us |     0.0599 us |     0.0531 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     301.90 us |     0.1101 us |     0.0919 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     246.15 us |     0.6768 us |     0.6000 us |
|                   'GoRogue AStar' |     100 |  RECTANGLE |    CHEBYSHEV |      FAST |   1,465.45 us |     0.5667 us |     0.5024 us |
|           'GoRogue AStar - H,W,T' |     100 |  RECTANGLE |    CHEBYSHEV |      FAST |     393.10 us |     1.8065 us |     1.6898 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  RECTANGLE |    CHEBYSHEV |      FAST |     305.86 us |     0.4279 us |     0.3573 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  RECTANGLE |    CHEBYSHEV |      FAST |     218.85 us |     0.0865 us |     0.0722 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  RECTANGLE |    CHEBYSHEV |      FAST |     297.35 us |     0.1909 us |     0.1594 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  RECTANGLE |    CHEBYSHEV |      FAST |     248.40 us |     0.0847 us |     0.0661 us |
|                   'GoRogue AStar' |     100 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |   3,155.20 us |     3.3898 us |     2.8307 us |
|           'GoRogue AStar - H,W,T' |     100 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |   2,625.50 us |    18.7176 us |    17.5085 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |   2,613.24 us |     7.3906 us |     6.5515 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |   2,481.94 us |     2.5499 us |     1.9908 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |   3,938.43 us |     1.1543 us |     0.9012 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |   3,194.20 us |     7.8742 us |     6.9803 us |
|                   'GoRogue AStar' |     100 |  RECTANGLE |    EUCLIDEAN |      FAST |   3,158.81 us |     6.1134 us |     5.4194 us |
|           'GoRogue AStar - H,W,T' |     100 |  RECTANGLE |    EUCLIDEAN |      FAST |     394.19 us |     2.0469 us |     1.9147 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  RECTANGLE |    EUCLIDEAN |      FAST |     300.83 us |     0.6724 us |     0.6289 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  RECTANGLE |    EUCLIDEAN |      FAST |     214.35 us |     0.1223 us |     0.0954 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  RECTANGLE |    EUCLIDEAN |      FAST |     287.90 us |     0.8471 us |     0.7924 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  RECTANGLE |    EUCLIDEAN |      FAST |     235.65 us |     0.1269 us |     0.1060 us |
|                   'GoRogue AStar' |     100 |  RECTANGLE |    MANHATTAN |   DEFAULT |   1,028.07 us |     0.5581 us |     0.4947 us |
|           'GoRogue AStar - H,W,T' |     100 |  RECTANGLE |    MANHATTAN |   DEFAULT |     355.31 us |     0.4119 us |     0.3853 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  RECTANGLE |    MANHATTAN |   DEFAULT |     266.65 us |     0.6635 us |     0.5882 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  RECTANGLE |    MANHATTAN |   DEFAULT |     184.92 us |     0.2204 us |     0.2061 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  RECTANGLE |    MANHATTAN |   DEFAULT |     242.65 us |     0.5621 us |     0.4983 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  RECTANGLE |    MANHATTAN |   DEFAULT |     200.67 us |     0.2354 us |     0.2202 us |
|                   'GoRogue AStar' |     100 |  RECTANGLE |    MANHATTAN |      FAST |   1,024.82 us |     3.4742 us |     2.9011 us |
|           'GoRogue AStar - H,W,T' |     100 |  RECTANGLE |    MANHATTAN |      FAST |     357.89 us |     1.0413 us |     0.9231 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  RECTANGLE |    MANHATTAN |      FAST |     266.65 us |     0.3764 us |     0.3337 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  RECTANGLE |    MANHATTAN |      FAST |     184.14 us |     0.4124 us |     0.3858 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  RECTANGLE |    MANHATTAN |      FAST |     243.69 us |     0.6715 us |     0.6282 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  RECTANGLE |    MANHATTAN |      FAST |     202.14 us |     0.3641 us |     0.3406 us |
|                   'GoRogue AStar' |     250 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  45,758.13 us |   139.5519 us |   123.7091 us |
|           'GoRogue AStar - H,W,T' |     250 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  37,804.36 us |    97.1181 us |    86.0927 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  38,172.13 us |   306.7547 us |   286.9386 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  38,035.84 us |   422.4253 us |   395.1369 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  59,665.58 us |   259.0642 us |   242.3288 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  46,622.85 us |    38.2987 us |    31.9812 us |
|                   'GoRogue AStar' |     250 |  CELL AUTO |    CHEBYSHEV |      FAST |  46,061.95 us |   114.6757 us |   107.2677 us |
|           'GoRogue AStar - H,W,T' |     250 |  CELL AUTO |    CHEBYSHEV |      FAST |  26,396.95 us |    15.7735 us |    13.9828 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  CELL AUTO |    CHEBYSHEV |      FAST |  26,449.74 us |   153.0736 us |   135.6957 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  CELL AUTO |    CHEBYSHEV |      FAST |  26,030.14 us |   165.1472 us |   154.4788 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  CELL AUTO |    CHEBYSHEV |      FAST |  40,078.64 us |    83.2903 us |    77.9098 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  CELL AUTO |    CHEBYSHEV |      FAST |  32,425.26 us |    24.0338 us |    22.4813 us |
|                   'GoRogue AStar' |     250 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  50,696.98 us |   208.1379 us |   194.6923 us |
|           'GoRogue AStar - H,W,T' |     250 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  42,949.58 us |   143.0519 us |   126.8118 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  42,923.29 us |    38.6081 us |    32.2395 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  42,370.90 us |    80.4070 us |    75.2128 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  67,491.59 us |    79.2702 us |    74.1494 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  52,713.33 us |    55.7906 us |    46.5877 us |
|                   'GoRogue AStar' |     250 |  CELL AUTO |    EUCLIDEAN |      FAST |  50,467.42 us |   120.1182 us |   100.3041 us |
|           'GoRogue AStar - H,W,T' |     250 |  CELL AUTO |    EUCLIDEAN |      FAST |  31,707.40 us |   377.1256 us |   352.7636 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  CELL AUTO |    EUCLIDEAN |      FAST |  31,068.69 us |   102.9039 us |    96.2563 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  CELL AUTO |    EUCLIDEAN |      FAST |  30,563.07 us |    44.0671 us |    36.7980 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  CELL AUTO |    EUCLIDEAN |      FAST |  47,505.08 us |    49.7984 us |    46.5815 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  CELL AUTO |    EUCLIDEAN |      FAST |  38,048.20 us |    39.9979 us |    33.4000 us |
|                   'GoRogue AStar' |     250 |  CELL AUTO |    MANHATTAN |   DEFAULT |  29,202.56 us |    47.7732 us |    42.3497 us |
|           'GoRogue AStar - H,W,T' |     250 |  CELL AUTO |    MANHATTAN |   DEFAULT |  24,820.52 us |   202.8010 us |   189.7002 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  CELL AUTO |    MANHATTAN |   DEFAULT |  24,017.45 us |    98.9645 us |    92.5715 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  CELL AUTO |    MANHATTAN |   DEFAULT |  23,475.36 us |    13.5912 us |    11.3493 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  CELL AUTO |    MANHATTAN |   DEFAULT |  36,010.04 us |    98.7912 us |    87.5759 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  CELL AUTO |    MANHATTAN |   DEFAULT |  28,984.33 us |    95.2516 us |    89.0984 us |
|                   'GoRogue AStar' |     250 |  CELL AUTO |    MANHATTAN |      FAST |  29,441.53 us |    16.1380 us |    15.0955 us |
|           'GoRogue AStar - H,W,T' |     250 |  CELL AUTO |    MANHATTAN |      FAST |  24,279.79 us |   141.6485 us |   132.4981 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  CELL AUTO |    MANHATTAN |      FAST |  23,903.79 us |   125.9888 us |   117.8500 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  CELL AUTO |    MANHATTAN |      FAST |  23,347.40 us |    87.3281 us |    81.6868 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  CELL AUTO |    MANHATTAN |      FAST |  36,252.21 us |    57.2846 us |    53.5841 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  CELL AUTO |    MANHATTAN |      FAST |  28,689.96 us |    75.9462 us |    67.3243 us |
|                   'GoRogue AStar' |     250 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |   3,553.41 us |    15.9632 us |    14.9320 us |
|           'GoRogue AStar - H,W,T' |     250 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |   2,940.26 us |     2.3348 us |     1.8228 us |
|         'GoRogue AStar - H,W,T,D' |     250 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |   2,380.92 us |     4.6909 us |     4.1583 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |   1,927.75 us |     1.7335 us |     1.5367 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |   2,460.37 us |     1.8176 us |     1.4191 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |   2,143.35 us |     4.4443 us |     3.7112 us |
|                   'GoRogue AStar' |     250 | RAND ROOMS |    CHEBYSHEV |      FAST |   3,560.15 us |     4.9552 us |     4.1378 us |
|           'GoRogue AStar - H,W,T' |     250 | RAND ROOMS |    CHEBYSHEV |      FAST |   1,681.49 us |     4.6359 us |     3.8712 us |
|         'GoRogue AStar - H,W,T,D' |     250 | RAND ROOMS |    CHEBYSHEV |      FAST |   1,096.93 us |     0.3247 us |     0.2712 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 | RAND ROOMS |    CHEBYSHEV |      FAST |     645.70 us |     0.3871 us |     0.3432 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 | RAND ROOMS |    CHEBYSHEV |      FAST |     704.21 us |     1.8140 us |     1.6968 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 | RAND ROOMS |    CHEBYSHEV |      FAST |     624.67 us |     0.3201 us |     0.2673 us |
|                   'GoRogue AStar' |     250 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |   3,288.23 us |     2.2076 us |     1.8434 us |
|           'GoRogue AStar - H,W,T' |     250 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |   2,770.64 us |     7.6716 us |     6.8007 us |
|         'GoRogue AStar - H,W,T,D' |     250 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |   2,214.82 us |     1.4195 us |     1.1083 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |   1,754.91 us |     0.5158 us |     0.4573 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |   2,181.87 us |     1.5066 us |     1.2581 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |   1,942.76 us |     3.0727 us |     2.5659 us |
|                   'GoRogue AStar' |     250 | RAND ROOMS |    EUCLIDEAN |      FAST |   3,263.70 us |     1.9504 us |     1.6287 us |
|           'GoRogue AStar - H,W,T' |     250 | RAND ROOMS |    EUCLIDEAN |      FAST |   1,719.38 us |     0.5645 us |     0.4407 us |
|         'GoRogue AStar - H,W,T,D' |     250 | RAND ROOMS |    EUCLIDEAN |      FAST |   1,126.27 us |     0.3473 us |     0.2712 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 | RAND ROOMS |    EUCLIDEAN |      FAST |     662.90 us |     0.2617 us |     0.2185 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 | RAND ROOMS |    EUCLIDEAN |      FAST |     731.13 us |     0.7182 us |     0.5997 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 | RAND ROOMS |    EUCLIDEAN |      FAST |     644.55 us |     0.5201 us |     0.4343 us |
|                   'GoRogue AStar' |     250 | RAND ROOMS |    MANHATTAN |   DEFAULT |   1,835.89 us |     4.5072 us |     3.9955 us |
|           'GoRogue AStar - H,W,T' |     250 | RAND ROOMS |    MANHATTAN |   DEFAULT |   1,510.02 us |     2.9776 us |     2.4865 us |
|         'GoRogue AStar - H,W,T,D' |     250 | RAND ROOMS |    MANHATTAN |   DEFAULT |     917.86 us |     0.4368 us |     0.3410 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 | RAND ROOMS |    MANHATTAN |   DEFAULT |     464.15 us |     1.9963 us |     1.7697 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 | RAND ROOMS |    MANHATTAN |   DEFAULT |     512.01 us |     0.4375 us |     0.3878 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 | RAND ROOMS |    MANHATTAN |   DEFAULT |     432.40 us |     0.1343 us |     0.1049 us |
|                   'GoRogue AStar' |     250 | RAND ROOMS |    MANHATTAN |      FAST |   1,875.18 us |    10.7551 us |     9.5341 us |
|           'GoRogue AStar - H,W,T' |     250 | RAND ROOMS |    MANHATTAN |      FAST |   1,506.43 us |     0.6492 us |     0.5421 us |
|         'GoRogue AStar - H,W,T,D' |     250 | RAND ROOMS |    MANHATTAN |      FAST |     919.62 us |     2.9111 us |     2.5806 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 | RAND ROOMS |    MANHATTAN |      FAST |     456.88 us |     0.1941 us |     0.1720 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 | RAND ROOMS |    MANHATTAN |      FAST |     508.33 us |     0.7893 us |     0.6591 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 | RAND ROOMS |    MANHATTAN |      FAST |     432.09 us |     0.7218 us |     0.6399 us |
|                   'GoRogue AStar' |     250 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |   9,912.20 us |   211.9227 us |   252.2789 us |
|           'GoRogue AStar - H,W,T' |     250 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |   1,710.02 us |     3.5073 us |     3.2807 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |   1,123.33 us |     1.5129 us |     1.3412 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     656.03 us |     1.2389 us |     1.0982 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     791.52 us |     0.4680 us |     0.4148 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     650.57 us |     2.4793 us |     2.3191 us |
|                   'GoRogue AStar' |     250 |  RECTANGLE |    CHEBYSHEV |      FAST |   9,696.05 us |    18.9518 us |    16.8003 us |
|           'GoRogue AStar - H,W,T' |     250 |  RECTANGLE |    CHEBYSHEV |      FAST |   1,686.95 us |     3.5971 us |     3.1887 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  RECTANGLE |    CHEBYSHEV |      FAST |   1,096.86 us |     0.2427 us |     0.1895 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  RECTANGLE |    CHEBYSHEV |      FAST |     627.87 us |     0.2437 us |     0.1902 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  RECTANGLE |    CHEBYSHEV |      FAST |     738.10 us |     0.4760 us |     0.3975 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  RECTANGLE |    CHEBYSHEV |      FAST |     618.55 us |     1.1055 us |     0.9231 us |
|                   'GoRogue AStar' |     250 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  20,687.91 us |    33.5821 us |    29.7696 us |
|           'GoRogue AStar - H,W,T' |     250 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  17,407.08 us |    96.4398 us |    90.2099 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  17,441.01 us |    29.6026 us |    26.2419 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  16,808.03 us |    45.0702 us |    35.1878 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  27,778.34 us |    67.1064 us |    59.4881 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  21,205.46 us |   139.2926 us |   130.2944 us |
|                   'GoRogue AStar' |     250 |  RECTANGLE |    EUCLIDEAN |      FAST |  20,678.53 us |    41.1305 us |    34.3459 us |
|           'GoRogue AStar - H,W,T' |     250 |  RECTANGLE |    EUCLIDEAN |      FAST |   1,706.94 us |     5.4989 us |     5.1437 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  RECTANGLE |    EUCLIDEAN |      FAST |   1,088.29 us |     6.1943 us |     5.7942 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  RECTANGLE |    EUCLIDEAN |      FAST |     615.32 us |     0.1750 us |     0.1551 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  RECTANGLE |    EUCLIDEAN |      FAST |     707.88 us |     0.4972 us |     0.4651 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  RECTANGLE |    EUCLIDEAN |      FAST |     595.72 us |     3.4021 us |     3.0159 us |
|                   'GoRogue AStar' |     250 |  RECTANGLE |    MANHATTAN |   DEFAULT |   9,921.51 us |    21.5535 us |    20.1612 us |
|           'GoRogue AStar - H,W,T' |     250 |  RECTANGLE |    MANHATTAN |   DEFAULT |   1,636.06 us |     1.3806 us |     1.2914 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  RECTANGLE |    MANHATTAN |   DEFAULT |   1,049.22 us |     2.1938 us |     1.9448 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  RECTANGLE |    MANHATTAN |   DEFAULT |     579.62 us |     4.0537 us |     3.7919 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  RECTANGLE |    MANHATTAN |   DEFAULT |     686.31 us |     0.8460 us |     0.7499 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  RECTANGLE |    MANHATTAN |   DEFAULT |     565.92 us |     1.8820 us |     1.6684 us |
|                   'GoRogue AStar' |     250 |  RECTANGLE |    MANHATTAN |      FAST |   9,920.44 us |    20.7672 us |    19.4257 us |
|           'GoRogue AStar - H,W,T' |     250 |  RECTANGLE |    MANHATTAN |      FAST |   1,627.42 us |     0.6819 us |     0.6045 us |
|         'GoRogue AStar - H,W,T,D' |     250 |  RECTANGLE |    MANHATTAN |      FAST |   1,056.72 us |     4.1699 us |     3.6965 us |
|   'GoRogue AStar - H,W,T,D,Array' |     250 |  RECTANGLE |    MANHATTAN |      FAST |     584.85 us |     2.6281 us |     2.3297 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     250 |  RECTANGLE |    MANHATTAN |      FAST |     680.71 us |     1.2141 us |     1.0762 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     250 |  RECTANGLE |    MANHATTAN |      FAST |     568.80 us |     2.6684 us |     2.4961 us |
|                   'GoRogue AStar' |     500 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  64,026.68 us |   133.0601 us |   124.4645 us |
|           'GoRogue AStar - H,W,T' |     500 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  55,775.44 us |   194.1944 us |   181.6495 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  50,857.53 us |    79.2258 us |    74.1078 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  47,883.13 us |   376.1966 us |   333.4885 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  74,956.52 us |    80.0080 us |    66.8103 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |  60,331.13 us |   331.7276 us |   310.2982 us |
|                   'GoRogue AStar' |     500 |  CELL AUTO |    CHEBYSHEV |      FAST |  64,268.27 us |   330.3336 us |   292.8321 us |
|           'GoRogue AStar - H,W,T' |     500 |  CELL AUTO |    CHEBYSHEV |      FAST |  26,230.65 us |    61.1610 us |    57.2101 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  CELL AUTO |    CHEBYSHEV |      FAST |  20,203.30 us |    17.5198 us |    14.6298 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  CELL AUTO |    CHEBYSHEV |      FAST |  18,134.19 us |    71.2142 us |    63.1295 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  CELL AUTO |    CHEBYSHEV |      FAST |  27,912.40 us |    97.1868 us |    86.1535 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  CELL AUTO |    CHEBYSHEV |      FAST |  23,378.31 us |    19.3633 us |    17.1651 us |
|                   'GoRogue AStar' |     500 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  74,339.41 us |   251.0957 us |   234.8751 us |
|           'GoRogue AStar - H,W,T' |     500 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  63,681.55 us |   290.5242 us |   271.7565 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  60,701.51 us |   151.0883 us |   133.9359 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  56,459.18 us |   218.8847 us |   194.0356 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  90,549.67 us |   652.5276 us |   610.3747 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |  70,301.35 us |    99.9318 us |    88.5869 us |
|                   'GoRogue AStar' |     500 |  CELL AUTO |    EUCLIDEAN |      FAST |  74,027.94 us |   140.9713 us |   117.7174 us |
|           'GoRogue AStar - H,W,T' |     500 |  CELL AUTO |    EUCLIDEAN |      FAST |  34,330.41 us |   104.9250 us |    81.9186 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  CELL AUTO |    EUCLIDEAN |      FAST |  28,554.51 us |   170.2183 us |   159.2223 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  CELL AUTO |    EUCLIDEAN |      FAST |  26,962.71 us |   278.8807 us |   260.8651 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  CELL AUTO |    EUCLIDEAN |      FAST |  39,896.11 us |    61.5551 us |    48.0582 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  CELL AUTO |    EUCLIDEAN |      FAST |  32,490.03 us |   114.7544 us |    95.8251 us |
|                   'GoRogue AStar' |     500 |  CELL AUTO |    MANHATTAN |   DEFAULT |  43,366.14 us |   148.8019 us |   139.1894 us |
|           'GoRogue AStar - H,W,T' |     500 |  CELL AUTO |    MANHATTAN |   DEFAULT |  37,470.09 us |   146.1468 us |   136.7058 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  CELL AUTO |    MANHATTAN |   DEFAULT |  31,908.24 us |    83.4798 us |    74.0026 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  CELL AUTO |    MANHATTAN |   DEFAULT |  29,347.61 us |   110.2449 us |   103.1232 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  CELL AUTO |    MANHATTAN |   DEFAULT |  44,298.70 us |    90.7520 us |    84.8895 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  CELL AUTO |    MANHATTAN |   DEFAULT |  35,757.05 us |   154.2074 us |   128.7702 us |
|                   'GoRogue AStar' |     500 |  CELL AUTO |    MANHATTAN |      FAST |  43,432.08 us |   226.9566 us |   212.2954 us |
|           'GoRogue AStar - H,W,T' |     500 |  CELL AUTO |    MANHATTAN |      FAST |  37,832.98 us |   184.6685 us |   172.7390 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  CELL AUTO |    MANHATTAN |      FAST |  31,713.25 us |    55.5535 us |    51.9648 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  CELL AUTO |    MANHATTAN |      FAST |  29,045.58 us |    50.3677 us |    42.0593 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  CELL AUTO |    MANHATTAN |      FAST |  44,483.26 us |   118.7310 us |   111.0610 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  CELL AUTO |    MANHATTAN |      FAST |  35,526.99 us |   189.3737 us |   177.1403 us |
|                   'GoRogue AStar' |     500 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |  40,647.14 us |   128.7863 us |   120.4668 us |
